=== MPE ===
#	Residual	Error
0	4.75e-001	5.91e+000
1	2.00e-004	6.94e-004
2	2.90e-006	8.78e-006
3	4.17e-008	1.74e-007
4	9.27e-010	3.71e-009
5	2.18e-011	9.11e-011
6	6.29e-013	2.31e-012
7	2.50e-014	1.20e-013
8	4.87e-015	1.99e-014
=== RRE ===
#	Residual	Error
0	4.75e-001	5.91e+000
1	1.56e-004	1.14e-003
2	1.76e-006	1.38e-005
3	2.80e-008	2.33e-007
4	5.77e-010	4.60e-009
5	1.36e-011	1.15e-010
6	4.04e-013	4.15e-012
7	2.43e-014	2.22e-013
8	4.16e-015	4.97e-014
